Date,Time,Stop/Station,Passenger_Count,Vehicle_ID,Latitude,Longitude,Temperature (°C),Precipitation (mm),Humidity (%),Age_Group,Gender,Feedback
2022-06-24,13:36,Malacca,34,BUS679,3.0506126042365658,117.57483706842956,11,5,92,40-60,Male,Driver was friendly
2022-05-29,16:48,Malacca,97,BUS259,5.498546154661965,100.82578123947339,-9,1,64,25-40,Female,Cleanliness was lacking
2023-06-26,10:57,Kuching,62,TRAIN35,1.407885609555577,116.38681390871466,9,5,94,25-40,Female,Seats were uncomfortable
2023-08-03,11:03,Kuala Lumpur,32,BUS052,1.3570454024210081,109.20387350168778,16,5,81,25-40,Female,Seats were uncomfortable
2023-07-02,08:19,Cameron Highlands,51,BUS069,5.866435215627642,100.9384843217589,13,0,78,18-24,Female,Bus arrived on time
2023-01-29,14:00,Kuching,16,TRAIN20,4.145166066551805,102.35979736498682,35,6,96,40-60,Male,Train was overcrowded
2022-03-15,20:20,Port Dickson,88,TRAIN58,6.158645087377746,115.88941399160659,-3,4,64,18-24,Female,Poor signage at the station
2022-10-25,00:34,Langkawi,61,TRAIN24,4.680881537627709,109.67916514026294,15,2,58,40-60,Female,Driver was friendly
2023-01-30,11:05,Kuala Lumpur,49,BUS960,1.4706533292723016,111.79938112860941,15,7,72,40-60,Male,Bus arrived on time
2023-06-24,21:24,Port Dickson,34,TRAIN81,2.0430961258111813,100.40686805615644,-2,4,96,25-40,Female,Station was well-maintained
2023-03-06,02:07,Ipoh,41,TRAIN98,3.6524760847485833,100.74158188995375,2,7,53,25-40,Female,Train was overcrowded
2022-07-19,12:11,Port Dickson,30,BUS367,2.1307694318577406,108.56570151389585,15,1,53,18-24,Male,Service was excellent
2023-02-28,19:28,Malacca,28,TRAIN31,6.193902154181922,110.0969349957989,21,0,95,18-24,Male,Service was excellent
2022-03-03,22:31,Kota Kinabalu,45,TRAIN92,6.884289548911184,103.17824149543425,-4,6,71,25-40,Male,Bus arrived on time
2022-12-08,01:16,Kuching,94,TRAIN04,4.713656524251186,107.43160962379055,24,1,73,40-60,Male,Delay in departure
2022-02-14,18:18,Kuala Lumpur,98,BUS621,4.892889418961886,100.07224247173325,29,2,89,40-60,Female,Route was confusing
2022-03-30,14:21,Malacca,54,TRAIN02,6.334888293039504,102.66693460235642,1,0,90,18-24,Male,Poor signage at the station
2022-02-03,15:47,Johor Bahru,92,TRAIN15,5.0670909420734525,100.49988470373873,17,7,51,18-24,Female,Station was well-maintained
2023-10-08,05:33,Kuala Lumpur,32,BUS254,3.3128330635689816,117.60566432486323,34,6,54,18-24,Male,Seats were uncomfortable
2022-08-21,10:02,Kuching,41,TRAIN01,2.4390187451581617,101.22758601506939,38,3,92,25-40,Male,Route was confusing
2022-02-06,08:55,Kuala Lumpur,60,TRAIN10,3.456045144593536,111.21134251062516,15,3,66,18-24,Female,Seats were uncomfortable
2023-04-05,19:15,Kuching,28,BUS243,6.8008369354659575,111.70398697915978,25,1,66,40-60,Female,Driver was friendly
2022-10-18,07:44,Johor Bahru,88,TRAIN79,1.4816093597006388,100.08819401650099,37,1,96,40-60,Female,Bus arrived on time
2022-07-17,03:33,Kuala Lumpur,17,BUS709,1.617635001760731,112.24531396257055,15,4,83,25-40,Male,Seats were uncomfortable
2022-09-12,16:49,Johor Bahru,21,BUS362,4.974575237840935,116.95885988475234,37,2,70,40-60,Female,Bus arrived on time
2022-03-22,16:56,Kota Kinabalu,73,TRAIN27,4.624067832102405,111.54231504246253,32,1,75,40-60,Female,Driver was friendly
2023-03-23,05:51,Kuala Lumpur,84,TRAIN13,5.423785443021986,103.71265746035357,30,2,50,40-60,Female,Bus arrived on time
2022-05-17,10:19,Georgetown,67,TRAIN53,6.405466368149937,111.01280225543537,39,3,53,18-24,Male,Seats were uncomfortable
2022-07-09,17:45,Malacca,68,BUS960,4.087310987726478,113.95566408426534,3,1,50,40-60,Male,Bus arrived on time
2022-05-10,00:22,Port Dickson,48,BUS165,3.101839791747043,113.6821363765376,16,1,55,40-60,Male,Service was excellent
2022-07-29,01:38,Malacca,51,TRAIN79,4.122136863637996,112.24236277718487,18,3,59,40-60,Male,Driver was friendly
2023-01-04,09:05,Kota Kinabalu,96,BUS551,2.0462218162188495,107.65152592665223,-8,2,52,25-40,Male,Delay in departure
2022-10-19,12:42,Kota Kinabalu,74,BUS188,6.402109328165105,102.42828882268655,-6,7,70,40-60,Female,Service was excellent
2023-01-12,23:16,Kota Kinabalu,44,BUS478,5.093853185988176,101.42789437230499,2,8,73,18-24,Male,Cleanliness was lacking
2022-12-14,17:04,Langkawi,91,BUS543,6.224026163594189,112.23012374688489,6,8,95,40-60,Male,Delay in departure
2022-06-18,14:45,Port Dickson,52,TRAIN34,2.814476176830592,107.25051254956325,34,8,99,40-60,Female,Poor signage at the station
2022-06-26,21:17,Johor Bahru,62,TRAIN78,6.362555836512721,100.04113513063186,5,2,60,18-24,Male,Bus arrived on time
2023-06-22,06:28,Ipoh,80,BUS852,1.9114977232488073,102.98836815738994,23,5,77,25-40,Female,Service was excellent
2022-11-20,10:05,Langkawi,13,BUS544,3.2212313929043432,113.95945566585496,25,5,92,40-60,Male,Train was overcrowded
2023-05-24,04:36,Port Dickson,50,TRAIN01,1.429375171228029,115.16238198156834,4,4,94,25-40,Male,Station was well-maintained
2022-04-25,20:55,Johor Bahru,86,TRAIN58,4.6666059669541085,111.65631170833989,8,4,88,40-60,Male,Cleanliness was lacking
2022-01-30,18:50,Kuala Lumpur,49,BUS844,2.4542696353311384,112.10068854122638,11,7,62,40-60,Female,Poor signage at the station
2022-10-17,22:53,Cameron Highlands,95,TRAIN15,2.405575416530838,105.47511942019894,23,6,60,25-40,Female,Bus arrived on time
2022-05-27,10:43,Penang,35,BUS070,6.961049531843911,109.77109061485355,18,5,83,18-24,Female,Route was confusing
2022-10-01,14:51,Port Dickson,10,BUS334,2.4398205391140335,118.7597415395853,-1,9,82,25-40,Female,Poor signage at the station
2022-08-10,16:56,Ipoh,44,BUS959,4.074913035937216,107.69574722609931,7,4,65,40-60,Female,Service was excellent
2022-12-07,01:40,Cameron Highlands,75,BUS483,4.699259913235385,112.19950138225943,-2,3,98,25-40,Female,Train was overcrowded
2023-05-25,07:05,Ipoh,53,TRAIN53,6.812608045798653,107.30577151556562,36,8,97,40-60,Male,Train was overcrowded
2023-05-30,15:55,Georgetown,47,TRAIN61,6.662784708703452,108.99693994315597,10,3,75,40-60,Female,Bus arrived on time
2022-03-11,09:52,Langkawi,99,BUS033,3.467460446023776,115.65701268450862,15,9,80,25-40,Female,Poor signage at the station
2022-12-24,00:23,Cameron Highlands,97,BUS541,1.6711575329498982,107.84061747332538,29,7,72,40-60,Female,Route was confusing
2023-07-11,14:34,Kuala Lumpur,52,TRAIN95,2.1643155128262666,108.74977743769188,13,8,99,25-40,Male,Seats were uncomfortable
2022-11-19,19:25,Kota Kinabalu,78,TRAIN06,1.0613568981949328,105.7423599949,-5,2,90,18-24,Male,Delay in departure
2023-09-16,21:04,Penang,62,TRAIN12,1.0056838685396658,116.4450863810249,-4,1,62,40-60,Male,Train was overcrowded
2022-04-02,00:59,Penang,81,BUS056,5.662493322594997,106.06175346617482,23,3,62,18-24,Female,Train was overcrowded
2022-12-08,20:05,Malacca,11,BUS842,3.1410853912031547,114.61887517457869,32,9,62,25-40,Male,Seats were uncomfortable
2023-02-28,17:04,Kuala Lumpur,33,TRAIN13,4.89065239272356,118.55165395984513,24,3,78,40-60,Female,Bus arrived on time
2023-07-06,00:49,Malacca,97,TRAIN08,4.379557743202614,115.37317379602587,39,3,95,18-24,Male,Bus arrived on time
2023-10-25,17:08,Penang,98,TRAIN57,6.275451620804493,117.3932394644508,28,5,68,25-40,Female,Driver was friendly
2023-02-19,09:36,Malacca,99,TRAIN06,4.451941374142734,102.83474392837856,18,3,78,40-60,Female,Train was overcrowded
2023-10-20,09:44,Penang,79,TRAIN58,1.6608302184772736,108.05136246795215,0,4,93,25-40,Male,Delay in departure
2023-12-12,16:35,Langkawi,32,BUS543,6.27663927945852,100.5127016767743,31,4,93,25-40,Female,Poor signage at the station
2022-10-02,00:14,Kuching,90,BUS957,5.336609030305731,110.45234360328055,35,5,92,40-60,Male,Delay in departure
2022-02-13,23:32,Port Dickson,74,BUS437,2.845362533724905,119.974507940982,26,9,56,25-40,Female,Route was confusing
2022-03-25,11:33,Kota Kinabalu,77,BUS782,5.532266328149105,110.76986513104939,18,1,75,18-24,Female,Route was confusing
2023-03-10,18:46,Langkawi,41,BUS499,3.359060657435383,117.23349815559475,-4,7,74,25-40,Female,Delay in departure
2022-04-04,12:08,Ipoh,80,TRAIN02,6.166235051196718,119.79635769543619,3,1,54,40-60,Female,Poor signage at the station
2022-06-24,05:56,Kota Kinabalu,62,BUS187,3.9735791614184928,106.62849154129746,4,1,80,25-40,Female,Poor signage at the station
2023-02-10,02:17,Kuala Lumpur,74,TRAIN17,4.634551978446471,108.56288044712845,-5,6,62,40-60,Female,Poor signage at the station
2022-07-21,15:03,Langkawi,18,TRAIN40,1.442276847555856,110.93533796616578,38,5,64,18-24,Male,Train was overcrowded
2023-05-14,21:48,Cameron Highlands,34,BUS787,6.001522660606476,114.60547118793316,8,4,65,25-40,Female,Station was well-maintained
2023-04-26,18:29,Malacca,80,TRAIN53,3.950014607117877,110.19544066725464,24,9,89,40-60,Male,Station was well-maintained
2022-11-26,05:56,Kuching,85,BUS016,1.829570547436747,103.6951592548897,34,7,98,40-60,Female,Station was well-maintained
2023-06-25,22:18,Kuala Lumpur,78,BUS673,1.2993548056671782,110.04549983148303,16,5,62,18-24,Female,Driver was friendly
2022-07-29,07:55,Kuala Lumpur,72,TRAIN19,3.1719329434288754,114.42423493875621,39,5,74,25-40,Male,Poor signage at the station
2023-09-10,17:26,Georgetown,81,BUS842,6.8016674051013455,115.06192768466629,-7,9,81,18-24,Male,Train was overcrowded
2023-07-30,04:45,Malacca,35,BUS775,6.031498543757528,108.37864304683913,23,8,67,25-40,Female,Seats were uncomfortable
2022-01-17,19:47,Kota Kinabalu,61,BUS756,4.674314560761007,112.16406911221478,20,6,56,40-60,Female,Route was confusing
2022-04-17,19:14,Ipoh,52,TRAIN69,3.895208411989996,119.86434739396329,23,9,57,40-60,Female,Poor signage at the station
2022-06-14,18:57,Kuching,15,TRAIN96,6.77051303598711,106.77113553772246,16,9,59,40-60,Male,Station was well-maintained
2023-08-30,00:27,Malacca,47,BUS071,6.736976361928478,102.21675524117133,28,1,62,40-60,Male,Station was well-maintained
2023-06-21,04:38,Johor Bahru,14,BUS887,4.0766912627559355,102.8222597553513,31,1,67,25-40,Female,Train was overcrowded
2023-09-21,20:44,Georgetown,72,TRAIN10,1.919621185171693,116.15489136657398,3,8,87,40-60,Female,Poor signage at the station
2022-07-11,03:18,Penang,52,BUS734,4.199315974781332,112.77204015569359,13,7,75,18-24,Female,Cleanliness was lacking
2022-07-15,13:51,Malacca,22,TRAIN35,3.266249674028865,107.3321889916719,-1,4,58,18-24,Male,Station was well-maintained
2022-11-04,17:31,Georgetown,26,BUS180,5.397390837111682,101.05770911000045,25,3,71,25-40,Female,Poor signage at the station
2022-05-17,01:18,Malacca,67,BUS843,3.486677326811581,101.95471305252634,35,3,67,25-40,Female,Train was overcrowded
2022-04-04,12:47,Ipoh,79,TRAIN49,1.1300010273738383,111.59049739681947,35,9,54,25-40,Male,Route was confusing
2022-03-29,07:34,Penang,23,BUS974,5.886197711489995,111.4045603680061,7,3,79,18-24,Male,Train was overcrowded
2022-06-10,07:30,Johor Bahru,21,TRAIN09,5.741716265660036,111.1792570078716,0,6,87,18-24,Female,Route was confusing
2022-05-28,13:16,Port Dickson,96,BUS923,4.828384472065109,113.6346636818348,15,6,75,40-60,Female,Driver was friendly
2023-08-08,01:24,Kota Kinabalu,49,BUS539,5.9151075560495245,117.0720287112589,38,7,58,18-24,Male,Cleanliness was lacking
2023-04-01,16:45,Malacca,10,BUS746,1.2515055664877837,110.83324624979986,-4,1,89,25-40,Male,Route was confusing
2022-03-29,05:50,Johor Bahru,34,TRAIN07,5.536609792829297,109.39265915146615,36,6,61,18-24,Male,Poor signage at the station
2022-01-14,16:12,Ipoh,37,TRAIN09,3.729224712803536,117.77089703349469,-10,9,73,18-24,Male,Seats were uncomfortable
2022-11-11,04:48,Malacca,40,TRAIN82,1.8122558742217338,115.78109487785207,33,6,77,18-24,Male,Poor signage at the station
2023-08-17,19:46,Ipoh,98,BUS689,1.567480332840555,110.17668766986273,37,1,66,25-40,Male,Seats were uncomfortable
2022-05-01,08:14,Penang,34,BUS349,5.134759080592136,101.5693280202419,23,7,58,40-60,Male,Driver was friendly
2023-12-17,17:10,Cameron Highlands,62,TRAIN02,4.890942926151676,105.84993634079174,14,5,70,40-60,Male,Service was excellent
2022-10-09,14:38,Port Dickson,42,TRAIN37,1.583152333267554,117.17675755057641,27,9,83,18-24,Female,Train was overcrowded
2023-03-03,13:04,Penang,72,TRAIN01,4.2588631863465,112.36354443413066,21,8,75,40-60,Female,Route was confusing
2023-04-16,22:15,Port Dickson,71,TRAIN59,6.578308990132815,101.0432962383595,37,7,64,25-40,Male,Cleanliness was lacking
2022-10-12,14:42,Ipoh,96,BUS506,5.774798498765722,114.99700548736166,30,9,59,40-60,Male,Cleanliness was lacking
2022-10-04,11:31,Cameron Highlands,57,BUS092,6.776459821787422,109.36504895578406,27,4,75,18-24,Female,Bus arrived on time
2022-11-21,22:46,Port Dickson,18,BUS425,5.805847148885352,100.27401157188953,38,5,54,40-60,Female,Cleanliness was lacking
2023-06-19,11:20,Georgetown,13,TRAIN92,4.930612915976342,113.08598577520732,-7,0,88,18-24,Male,Cleanliness was lacking
2022-08-16,23:02,Cameron Highlands,62,TRAIN27,6.4705639694419,103.71922554579575,38,5,83,25-40,Female,Delay in departure
2023-08-19,00:31,Malacca,88,BUS114,5.034204432339925,101.77917100946922,29,9,50,40-60,Female,Seats were uncomfortable
2023-10-10,14:06,Johor Bahru,70,BUS399,4.001487519061068,105.26650031085669,-6,9,90,25-40,Male,Seats were uncomfortable
2023-07-28,18:22,Johor Bahru,69,BUS837,1.5529961329039337,104.60236841629278,29,9,63,25-40,Male,Train was overcrowded
2023-10-16,14:59,Langkawi,91,TRAIN83,3.4901815527790783,114.5934555237376,-4,6,64,40-60,Female,Seats were uncomfortable
2023-06-02,13:12,Kuching,69,TRAIN16,2.1236043922934513,116.96015163144357,26,8,61,40-60,Female,Cleanliness was lacking
2022-09-14,05:19,Georgetown,93,BUS269,6.236141682345499,110.67872635095146,37,4,55,18-24,Female,Delay in departure
2022-05-17,23:28,Georgetown,98,BUS685,3.5697044659051027,106.7913288521426,15,9,74,25-40,Male,Route was confusing
2022-07-27,19:40,Ipoh,98,TRAIN62,3.882523333346915,115.08194502984361,1,5,63,25-40,Female,Station was well-maintained
2023-04-09,08:57,Ipoh,75,TRAIN51,5.582605382395028,115.24050681405042,-3,0,92,40-60,Female,Driver was friendly
2022-05-20,15:29,Malacca,86,BUS427,6.136627652762468,105.58224968522396,19,9,52,40-60,Female,Route was confusing
2022-01-05,20:42,Port Dickson,94,BUS960,3.327090354539007,100.73672321010966,36,2,52,40-60,Male,Station was well-maintained
2023-02-28,10:20,Kuching,17,BUS821,3.3520521267146655,117.10211472868039,3,1,59,18-24,Male,Driver was friendly
2022-12-15,17:00,Kota Kinabalu,96,TRAIN91,1.8427426160015248,101.72197241372005,-7,1,82,25-40,Female,Driver was friendly
2022-10-10,07:38,Kuala Lumpur,54,TRAIN35,3.74583838183796,108.84716491296743,29,8,51,40-60,Male,Train was overcrowded
2023-08-10,02:01,Georgetown,89,TRAIN98,2.623031055730249,108.61749469142364,9,7,95,40-60,Male,Station was well-maintained
2023-03-10,16:22,Ipoh,42,BUS121,1.9955486122356692,107.5960940297259,7,8,96,40-60,Female,Driver was friendly
2022-08-08,13:58,Ipoh,43,BUS947,4.000800746014908,107.44602026557732,30,6,89,25-40,Male,Seats were uncomfortable
2023-01-09,17:22,Malacca,87,BUS882,3.3764173766397727,116.17502167451788,-1,9,51,18-24,Male,Cleanliness was lacking
2022-10-18,07:28,Georgetown,11,TRAIN35,5.173697004986913,101.1121371524388,-2,8,68,18-24,Female,Station was well-maintained
2023-07-18,01:21,Cameron Highlands,13,TRAIN75,4.806883371246814,116.85163692279099,6,5,76,18-24,Female,Bus arrived on time
2023-11-02,02:32,Cameron Highlands,49,TRAIN67,2.723478016087146,117.4796404736868,2,1,91,18-24,Female,Route was confusing
2023-03-14,18:06,Kuching,72,BUS629,6.337813968903173,115.14545548325945,14,4,65,40-60,Male,Seats were uncomfortable
2023-05-24,06:35,Langkawi,72,TRAIN65,4.547622301640371,112.70957772398391,-1,1,57,18-24,Female,Bus arrived on time
2023-03-26,21:36,Kuching,37,BUS477,2.6660604037361235,114.13810932902898,30,3,53,40-60,Male,Bus arrived on time
2022-11-23,23:51,Penang,68,BUS183,1.592953358989265,113.42296918500162,-5,2,97,40-60,Male,Train was overcrowded
2023-05-06,18:38,Malacca,57,BUS982,5.64010499975824,113.94911855394456,26,7,90,25-40,Male,Cleanliness was lacking
2022-02-23,14:15,Ipoh,35,BUS852,3.6796641958115432,111.3123560291858,36,0,86,25-40,Male,Seats were uncomfortable
2022-04-05,17:27,Port Dickson,90,BUS857,6.5752666270246145,106.60650027770927,14,9,95,25-40,Male,Service was excellent
2022-03-01,21:01,Georgetown,83,TRAIN73,6.947084084178639,119.48586789894443,9,8,82,40-60,Male,Station was well-maintained
2022-12-03,09:51,Cameron Highlands,35,BUS688,5.533049108296833,111.77989325487411,9,1,64,18-24,Female,Service was excellent
2023-10-29,17:11,Ipoh,74,TRAIN33,1.1840510480930417,105.60019120534305,-3,3,95,40-60,Male,Train was overcrowded
2023-09-29,00:55,Georgetown,25,TRAIN66,5.4661926923482245,112.61966515821223,25,4,96,25-40,Male,Driver was friendly
2022-06-13,03:57,Kuching,90,TRAIN05,5.389087738057715,114.62613122032042,29,9,87,40-60,Female,Train was overcrowded
2023-07-25,22:36,Malacca,17,BUS267,3.842699141880395,118.28510114061757,-7,9,86,25-40,Male,Delay in departure
2022-04-17,20:19,Ipoh,33,BUS607,4.324968835556129,116.23121067992922,6,1,80,25-40,Female,Poor signage at the station
2022-07-21,15:05,Cameron Highlands,50,TRAIN60,5.507693361662308,112.34570435794647,27,9,61,25-40,Male,Cleanliness was lacking
2022-10-28,20:04,Kota Kinabalu,48,TRAIN96,2.6437934197738935,117.62068954658565,0,2,70,25-40,Female,Service was excellent
2023-07-05,09:16,Port Dickson,47,BUS873,3.2594559114007993,113.17130556996273,6,0,91,40-60,Female,Seats were uncomfortable
2023-11-11,16:57,Ipoh,78,BUS055,6.790945008458319,102.85801547825223,16,2,86,25-40,Female,Seats were uncomfortable
2023-10-11,05:32,Malacca,96,BUS863,1.0623727314076243,106.0210301362955,28,5,74,18-24,Female,Bus arrived on time
2022-01-14,22:03,Johor Bahru,70,TRAIN84,4.462612766327871,102.95630230215315,1,0,98,25-40,Male,Train was overcrowded
2023-12-22,08:28,Malacca,59,BUS922,4.16359514134636,102.10131297442506,8,4,92,25-40,Male,Delay in departure
2023-06-19,09:10,Cameron Highlands,40,TRAIN30,6.717696374762238,112.02163698692797,25,6,90,25-40,Female,Route was confusing
2023-05-20,06:28,Penang,81,TRAIN08,5.9169406337539225,103.817473271965,14,7,61,18-24,Male,Route was confusing
2022-07-29,12:11,Kota Kinabalu,87,BUS736,4.990273182760278,118.52509314039257,39,5,83,40-60,Male,Delay in departure
2023-04-01,02:27,Cameron Highlands,99,BUS048,3.8290651097951818,111.7144615210802,10,4,90,25-40,Male,Route was confusing
2023-04-14,17:07,Malacca,47,TRAIN32,6.08467759998438,105.07857662217152,5,7,95,40-60,Female,Driver was friendly
2023-04-19,07:38,Kuching,41,TRAIN60,2.5161457684294013,111.1449815342266,-1,8,70,18-24,Male,Delay in departure
2023-07-27,23:58,Kuching,59,TRAIN68,5.436575229629743,114.16241128460531,-4,1,70,40-60,Male,Delay in departure
2023-02-05,05:09,Ipoh,57,TRAIN05,1.8374020725680063,109.36806657531719,-8,2,84,25-40,Male,Station was well-maintained
2022-02-26,12:40,Johor Bahru,63,TRAIN02,6.6869210359960505,118.10307257457075,13,9,62,18-24,Male,Station was well-maintained
2023-10-26,01:59,Penang,18,TRAIN77,4.736484818572453,111.4156578636289,-3,0,67,25-40,Male,Delay in departure
2022-10-08,14:45,Port Dickson,28,TRAIN09,2.1708371326145115,111.27244877445938,-7,8,57,40-60,Male,Bus arrived on time
2022-01-05,15:04,Kuching,94,TRAIN64,4.890966980956138,104.2064982284544,9,3,55,18-24,Male,Train was overcrowded
2023-09-05,22:52,Ipoh,35,TRAIN34,5.134795742027872,101.74746402126334,35,7,58,40-60,Female,Train was overcrowded
2022-11-02,02:07,Kuala Lumpur,49,BUS419,3.927294799278454,115.34222776293268,29,9,97,25-40,Female,Station was well-maintained
2022-12-10,13:08,Malacca,12,BUS444,3.1755877772074372,110.52627918373827,4,6,85,18-24,Female,Poor signage at the station
2023-06-27,05:39,Kuching,60,BUS070,5.262717994438599,108.53003793713847,-5,8,96,25-40,Male,Seats were uncomfortable
2023-07-21,15:15,Penang,91,BUS073,2.0199508620309006,115.63199494986972,9,1,93,40-60,Male,Poor signage at the station
2022-06-03,09:25,Kuala Lumpur,13,BUS657,3.1718692995064766,108.02896328616892,36,5,86,40-60,Female,Route was confusing
2022-12-20,22:25,Georgetown,36,BUS231,2.740262299784863,111.75472291266794,30,2,80,40-60,Female,Bus arrived on time
2022-12-24,19:29,Penang,63,BUS820,1.8456327141918696,102.27523062707144,-8,9,50,18-24,Male,Station was well-maintained
2023-11-29,09:11,Kuching,98,BUS488,5.013005957684977,119.73215202318585,39,3,76,40-60,Male,Station was well-maintained
2023-02-12,03:26,Kuching,73,BUS605,4.9972885428776435,103.28727260844573,32,8,81,25-40,Female,Station was well-maintained
2023-02-16,07:18,Kota Kinabalu,67,BUS646,6.343686525425282,103.38117256773278,32,9,55,40-60,Female,Station was well-maintained
2022-01-30,08:01,Kuala Lumpur,75,BUS001,3.273634580115181,108.80847601399904,3,3,94,40-60,Male,Seats were uncomfortable
2023-01-07,03:50,Ipoh,92,BUS724,1.5196324155261067,105.17196773951184,14,9,85,18-24,Male,Bus arrived on time
2023-09-24,17:46,Ipoh,81,BUS536,3.348454236792662,112.59164242530058,22,2,56,25-40,Male,Service was excellent
2023-05-18,23:10,Kota Kinabalu,53,BUS509,3.723013229101554,100.25918054811083,28,4,68,18-24,Female,Delay in departure
2022-01-08,10:24,Ipoh,79,TRAIN25,1.7935615298067822,110.58341484586265,-5,5,74,18-24,Female,Train was overcrowded
2023-09-10,11:27,Malacca,68,BUS757,6.518217914423195,116.29930860645592,33,7,70,18-24,Male,Route was confusing
2022-05-18,13:14,Malacca,50,BUS623,1.108937008294327,118.99383948310373,17,5,61,40-60,Male,Driver was friendly
2023-11-26,23:05,Georgetown,29,TRAIN26,3.1374523205106293,114.79790267273577,32,7,92,40-60,Female,Cleanliness was lacking
2023-01-12,23:42,Malacca,44,BUS681,3.1494437039707144,103.74475744488458,-10,4,93,40-60,Female,Train was overcrowded
2023-12-23,07:49,Cameron Highlands,95,BUS739,6.875592755178585,113.37730031042956,7,1,70,18-24,Male,Delay in departure
2022-05-29,05:38,Malacca,98,BUS594,2.403405234549025,113.57729330607515,30,8,94,25-40,Female,Poor signage at the station
2022-09-17,11:53,Malacca,75,BUS640,4.491235101775922,109.82886761309462,28,2,70,40-60,Female,Service was excellent
2022-05-07,11:24,Kota Kinabalu,10,TRAIN87,6.526200767957761,115.2642932801575,5,4,79,25-40,Male,Service was excellent
2023-08-01,17:21,Port Dickson,98,TRAIN98,2.6694455270159843,115.46675008467025,16,8,64,18-24,Male,Station was well-maintained
2023-06-17,18:25,Port Dickson,57,BUS275,4.158705056715137,114.10240674910308,4,5,50,40-60,Male,Seats were uncomfortable
2022-11-21,05:49,Langkawi,14,TRAIN18,5.613128275522755,105.14419298268376,14,2,97,18-24,Female,Seats were uncomfortable
2022-04-23,08:49,Johor Bahru,74,BUS284,2.1413212172087643,118.52963819964238,-8,1,60,40-60,Male,Cleanliness was lacking
2023-10-13,10:31,Ipoh,46,TRAIN44,6.863084750960648,100.92228186676194,15,1,77,18-24,Male,Delay in departure
2022-08-26,07:11,Penang,70,BUS893,1.4174139077790597,119.42070743315179,-2,2,72,25-40,Male,Seats were uncomfortable
2022-12-27,21:14,Georgetown,60,BUS427,3.9747351794035772,110.63590972683811,2,9,91,25-40,Female,Poor signage at the station
2023-07-10,00:01,Cameron Highlands,65,BUS487,4.709928067964303,113.05427191781483,17,5,57,40-60,Female,Train was overcrowded
2022-03-05,21:01,Georgetown,94,TRAIN48,2.1790268932512564,116.63409258518124,6,1,58,25-40,Male,Service was excellent
2023-03-31,04:58,Ipoh,78,BUS816,4.888099869388935,103.25096785082808,9,4,95,25-40,Female,Driver was friendly
2022-09-23,12:08,Georgetown,15,TRAIN31,2.356790075987829,117.93086982701223,32,0,82,40-60,Male,Cleanliness was lacking
2023-03-21,18:12,Malacca,71,BUS253,2.197070155739345,100.1895364691699,38,4,83,18-24,Male,Driver was friendly
2023-08-27,19:03,Kuala Lumpur,88,BUS376,3.778469881794246,118.59547331990112,30,8,72,40-60,Female,Cleanliness was lacking
2023-09-16,10:07,Kota Kinabalu,32,TRAIN48,6.423975861434588,108.22814636954384,-1,0,75,25-40,Female,Bus arrived on time
2023-02-24,20:28,Malacca,89,TRAIN52,5.962284215263599,119.90867193396227,2,4,74,25-40,Male,Delay in departure
2022-12-06,14:08,Penang,93,TRAIN03,3.8296512331042827,104.61551537856637,4,0,69,18-24,Female,Poor signage at the station
2022-10-02,14:35,Kuching,86,BUS497,6.560706457153664,113.31965668021415,7,0,74,25-40,Male,Station was well-maintained
2023-01-05,03:17,Georgetown,71,TRAIN89,3.6818013753243877,116.98360420540985,38,2,93,40-60,Female,Delay in departure
2022-08-15,23:53,Malacca,49,TRAIN14,5.286651311502196,100.44729132690301,-6,1,81,40-60,Female,Delay in departure
2022-08-14,21:12,Kuching,42,BUS217,3.9181358471024446,100.48051484665946,13,3,50,25-40,Male,Poor signage at the station
2023-10-06,13:07,Kota Kinabalu,67,TRAIN84,4.265964829949535,100.6625465907925,29,9,91,40-60,Female,Driver was friendly
2022-08-17,15:46,Kuching,40,BUS992,5.930198112311992,100.11929790414108,23,8,53,18-24,Female,Driver was friendly
2023-01-05,07:30,Cameron Highlands,94,BUS216,5.26019371530618,104.27086158843031,-5,9,99,40-60,Female,Poor signage at the station
2022-05-09,19:42,Kota Kinabalu,30,TRAIN93,3.505265159916581,116.08590415829707,17,1,87,18-24,Male,Delay in departure
2022-01-25,13:50,Cameron Highlands,68,TRAIN81,5.909700814471803,104.40827811635725,3,5,91,25-40,Male,Train was overcrowded
2023-11-30,01:43,Kota Kinabalu,79,BUS061,5.522628579785303,107.10559288090373,11,5,98,40-60,Female,Driver was friendly
2022-10-20,18:14,Kuching,84,TRAIN37,5.8309065044694615,100.9314947186594,34,5,94,40-60,Female,Bus arrived on time
2022-12-22,05:56,Georgetown,98,BUS535,2.742875417331801,106.12325753935806,25,5,59,18-24,Male,Delay in departure
2022-05-15,08:50,Ipoh,85,TRAIN38,5.715900371627178,101.59624786198015,4,4,70,18-24,Male,Delay in departure
2022-01-04,02:26,Kota Kinabalu,31,TRAIN11,3.5221291624168583,105.69345542417827,8,5,95,18-24,Female,Station was well-maintained
2022-08-15,11:44,Malacca,80,TRAIN52,3.975058237724898,111.50550159484371,35,5,74,40-60,Female,Service was excellent
2023-11-12,11:40,Kuching,75,TRAIN20,2.7847820418681186,105.2555379552161,5,6,88,25-40,Male,Delay in departure
